run_id	fraction	replicate	seed	is_reference
ref_full	1.0	0	424242	1
f004_r1	0.04	1	104001	0
f004_r2	0.04	2	104002	0
f004_r3	0.04	3	104003	0
f005_r1	0.05	1	105001	0
f005_r2	0.05	2	105002	0
f005_r3	0.05	3	105003	0
f006_r1	0.06	1	106001	0
f006_r2	0.06	2	106002	0
f006_r3	0.06	3	106003	0
f008_r1	0.08	1	108001	0
f008_r2	0.08	2	108002	0
f008_r3	0.08	3	108003	0
f010_r1	0.10	1	110001	0
f010_r2	0.10	2	110002	0
f010_r3	0.10	3	110003	0
f012_r1	0.12	1	112001	0
f012_r2	0.12	2	112002	0
f012_r3	0.12	3	112003	0
f016_r1	0.16	1	116001	0
f016_r2	0.16	2	116002	0
f016_r3	0.16	3	116003	0
f020_r1	0.20	1	120001	0
f020_r2	0.20	2	120002	0
f020_r3	0.20	3	120003	0
f025_r1	0.25	1	125001	0
f025_r2	0.25	2	125002	0
f025_r3	0.25	3	125003	0
f032_r1	0.32	1	132001	0
f032_r2	0.32	2	132002	0
f032_r3	0.32	3	132003	0
f040_r1	0.40	1	140001	0
f040_r2	0.40	2	140002	0
f040_r3	0.40	3	140003	0
f050_r1	0.50	1	150001	0
f050_r2	0.50	2	150002	0
f050_r3	0.50	3	150003	0
